cm-1,mol-abs
0.9667910156249988,0.268
4.823725097656251,0.774
8.680659179687495,1.01
12.537593261718747,1.139
16.39452734375,1.297
20.25146142578125,1.432
24.1083955078125,1.562
27.965329589843748,1.687
31.822263671875,1.819
35.67919775390625,1.942
39.536131835937496,2.065
43.39306591796875,2.19
47.25,2.317
51.105186523437496,2.441
58.8190546875,2.697
66.5329228515625,2.972
74.246791015625,3.278
81.9606591796875,3.629
89.67452734375,4.0280000000000005
97.3883955078125,4.478
105.102263671875,4.968
112.8161318359375,5.492
120.53,6.032
128.238109375,6.5760000000000005
135.9519775390625,7.105
143.665845703125,7.604
151.3797138671875,8.057
159.09358203124998,8.453
166.8074501953125,8.781
174.521318359375,9.035
182.2351865234375,9.212
189.9490546875,9.316
197.66292285156248,9.351
205.376791015625,9.326
213.0906591796875,9.25
220.80452734375,9.143
228.5183955078125,9.013
236.232263671875,8.882
243.9461318359375,8.765
251.66,8.68
259.378109375,8.64
267.0919775390625,8.65
274.805845703125,8.71
282.51971386718753,8.83
290.23358203125,9.0
297.9474501953125,9.200000000000001
305.661318359375,9.450000000000001
313.3751865234375,9.72
321.08905468750004,10.02
328.8029228515625,10.34
336.516791015625,10.67
344.2306591796875,11.03
351.94452734375,11.39
359.6583955078125,11.77
367.37226367187503,12.16
375.0861318359375,12.57
382.8,12.97
390.50810937499995,13.39
398.22197753906244,13.81
405.935845703125,14.24
413.6497138671874,14.68
421.36358203124996,15.120000000000001
429.07745019531245,15.56
436.79131835937494,16.01
444.50518652343743,16.46
452.2190546874999,16.93
459.93292285156247,17.39
467.64679101562496,17.87
475.36065917968745,18.35
483.07452734374993,18.85
490.7883955078124,19.34
498.50226367187497,19.85
506.21613183593746,20.35
513.93,20.87
521.6481093750001,21.38
529.3619775390625,21.900000000000002
537.0758457031251,22.41
544.7897138671875,22.91
552.5035820312501,23.42
560.2174501953125,23.91
567.931318359375,24.38
575.6451865234376,24.84
583.3590546875,25.35
591.0729228515626,25.79
598.786791015625,26.13
606.5006591796875,26.42
614.2145273437501,26.69
621.9283955078125,26.92
629.6422636718751,27.080000000000002
637.3561318359375,27.240000000000002
645.07,27.36
652.788109375,27.41
660.5019775390625,27.44
668.2158457031251,27.490000000000002
675.9297138671875,27.53
683.64358203125,27.53
691.3574501953126,27.5
699.071318359375,27.43
706.7851865234376,27.34
714.4990546875,27.25
722.2129228515626,27.14
729.926791015625,27.03
737.6406591796875,26.84
745.3545273437501,26.51
753.0683955078125,26.14
760.7822636718751,25.650000000000002
768.4961318359375,25.080000000000002
776.21,24.46
783.9181093750001,23.78
791.6319775390625,23.11
799.3458457031251,22.38
807.0597138671875,21.6
814.77358203125,20.76
822.4874501953125,19.88
830.201318359375,18.97
837.9151865234376,18.02
845.6290546875,17.05
853.3429228515625,16.07
861.056791015625,15.09
868.7706591796875,14.14
876.4845273437501,13.19
884.1983955078125,12.3
891.912263671875,11.450000000000001
899.6261318359375,10.65
907.34,9.91
915.058109375,9.235
922.7719775390625,8.626
930.485845703125,8.071
938.1997138671875,7.58
945.91358203125,7.149
953.6274501953126,6.767
961.341318359375,6.428
969.0551865234376,6.146
976.7690546875,5.897
984.4829228515625,5.678
992.196791015625,5.486
999.9106591796875,5.322
1007.6245273437501,5.176
1015.3383955078125,5.049
1023.052263671875,4.939
1030.7661318359376,4.838
1038.48,4.751
1046.1881093749998,4.678
1053.9019775390625,4.615
1061.615845703125,4.559
1069.3297138671874,4.51
1077.0435820312498,4.471
1084.7574501953125,4.433
1092.471318359375,4.4
1100.1851865234373,4.369
1107.8990546875,4.339
1115.6129228515624,4.3100000000000005
1123.3267910156248,4.279
1131.0406591796873,4.292
1138.75452734375,4.327
1146.4683955078124,4.351
1154.1822636718748,4.321
1161.8961318359375,4.311
1169.61,4.316
1177.328109375,4.323
1185.0419775390626,4.328
1192.755845703125,4.343
1200.4697138671875,4.375
1208.18358203125,4.388
1215.8974501953126,4.384
1223.611318359375,4.388
1231.3251865234374,4.409
1239.0390546875,4.428
1246.7529228515625,4.465
1254.466791015625,4.505
1262.1806591796876,4.543
1269.89452734375,4.57
1277.6083955078125,4.591
1285.322263671875,4.606
1293.0361318359376,4.618
1300.75,4.635
1308.458109375,4.65
1316.1719775390627,4.666
1323.8858457031251,4.679
1331.5997138671876,4.6930000000000005
1339.31358203125,4.704
1347.0274501953127,4.719
1354.741318359375,4.7330000000000005
1362.4551865234375,4.748
1370.1690546875002,4.765
1377.8829228515626,4.783
1385.596791015625,4.803
1393.3106591796877,4.824
1401.0245273437502,4.845
1408.7383955078126,4.87
1416.452263671875,4.9
1424.1661318359377,4.934
1431.88,4.9670000000000005
1439.598109375,5.007
1447.3119775390626,5.0440000000000005
1455.025845703125,5.085
1462.7397138671874,5.125
1470.4535820312499,5.181
1478.1674501953125,5.247
1485.881318359375,5.309
1493.5951865234374,5.396
1501.3090546875,5.482
1509.0229228515625,5.582
1516.736791015625,5.7090000000000005
1524.4506591796876,5.863
1532.16452734375,6.041
1539.8783955078125,6.256
1547.592263671875,6.529
1555.3061318359375,6.859
1563.02,7.26
1570.738109375,7.7700000000000005
1578.4519775390627,8.42
1586.1658457031251,9.27
1593.8797138671875,10.4
1601.59358203125,11.9
1609.3074501953126,13.82
1617.021318359375,16.15
1624.7351865234375,18.67
1632.4490546875002,20.84
1640.1629228515626,22.1
1647.876791015625,22.23
1655.5906591796875,21.39
1663.3045273437501,19.89
1671.0183955078126,17.98
1678.732263671875,15.860000000000001
1686.4461318359376,13.69
1694.16,11.620000000000001
1701.868109375,9.768
1709.5819775390626,8.195
1717.295845703125,6.907
1725.0097138671874,5.876
1732.7235820312499,5.058
1740.4374501953125,4.417
1748.151318359375,3.918
1755.8651865234374,3.523
1763.5790546875,3.21
1771.2929228515625,2.955
1779.006791015625,2.748
1786.7206591796876,2.575
1794.43452734375,2.437
1802.1483955078124,2.322
1809.8622636718749,2.228
1817.5761318359375,2.1510000000000002
1825.29,2.087
1833.008109375,2.033
1840.7219775390627,1.99
1848.435845703125,1.955
1856.1497138671875,1.925
1863.86358203125,1.9080000000000001
1871.5774501953126,1.893
1879.291318359375,1.8860000000000001
1887.0051865234375,1.8840000000000001
1894.7190546875001,1.889
1902.4329228515626,1.8980000000000001
1910.146791015625,1.913
1917.8606591796874,1.935
1925.57452734375,1.962
1933.2883955078125,1.997
1941.002263671875,2.036
1948.7161318359376,2.081
1956.43,2.132
1964.1381093749999,2.192
1971.8519775390625,2.255
1979.565845703125,2.322
1987.2797138671874,2.3930000000000002
1994.9935820312498,2.469
2002.7074501953125,2.549
2010.421318359375,2.63
2018.1351865234374,2.712
2025.8490546875,2.794
2033.5629228515625,2.874
2041.276791015625,2.957
2048.9906591796876,3.035
2056.7045273437498,3.108
2064.4183955078124,3.18
2072.132263671875,3.245
2079.8461318359373,3.3000000000000003
2087.56,3.354
2095.278109375,3.398
2102.991977539062,3.435
2110.705845703125,3.459
2118.4197138671875,3.474
2126.1335820312497,3.48
2133.8474501953124,3.475
2141.561318359375,3.461
2149.2751865234372,3.4370000000000003
2156.9890546875,3.403
2164.702922851562,3.358
2172.4167910156248,3.309
2180.1306591796874,3.251
2187.8445273437496,3.1910000000000003
2195.5583955078123,3.121
2203.272263671875,3.048
2210.986131835937,2.977
2218.7,2.9
2226.408109375,2.825
2234.1219775390623,2.753
2241.835845703125,2.677
2249.5497138671876,2.601
2257.26358203125,2.528
2264.9774501953125,2.455
2272.691318359375,2.382
2280.4051865234374,2.313
2288.1190546875,2.243
2295.832922851562,2.176
2303.546791015625,2.112
2311.2606591796875,2.045
2318.9745273437497,1.985
2326.6883955078124,1.931
2334.402263671875,1.8920000000000001
2342.1161318359373,1.849
2349.83,1.805
2357.548109375,1.7550000000000001
2365.261977539062,1.715
2372.975845703125,1.67
2380.6897138671875,1.6280000000000001
2388.4035820312497,1.595
2396.1174501953124,1.562
2403.8313183593746,1.5270000000000001
2411.545186523437,1.49
2419.2590546875,1.456
2426.972922851562,1.417
2434.6867910156247,1.385
2442.4006591796874,1.359
2450.1145273437496,1.326
2457.8283955078123,1.296
2465.542263671875,1.2630000000000001
2473.256131835937,1.235
2480.97,1.205
2488.6881093750003,1.179
2496.4019775390625,1.158
2504.115845703125,1.1340000000000001
2511.829713867188,1.105
2519.54358203125,1.076
2527.2574501953127,1.06
2534.971318359375,1.04
2542.6851865234376,1.0190000000000001
2550.3990546875,1.0030000000000001
2558.1129228515624,0.986
2565.826791015625,0.967
2573.5406591796877,0.9500000000000001
2581.25452734375,0.9400000000000001
2588.9683955078126,0.929
2596.6822636718753,0.908
2604.3961318359375,0.9
2612.11,0.891
2619.818109375,0.878
2627.531977539062,0.879
2635.245845703125,0.874
2642.9597138671875,0.874
2650.6735820312497,0.878
2658.3874501953123,0.878
2666.101318359375,0.887
2673.815186523437,0.903
2681.5290546875,0.922
2689.242922851562,0.9390000000000001
2696.9567910156247,0.9580000000000001
2704.6706591796874,0.985
2712.3845273437496,1.012
2720.0983955078123,1.043
2727.812263671875,1.08
2735.526131835937,1.121
2743.24,1.167
2750.9581093750003,1.224
2758.6719775390625,1.2790000000000001
2766.385845703125,1.344
2774.099713867188,1.417
2781.81358203125,1.497
2789.5274501953127,1.586
2797.2413183593753,1.672
2804.9551865234375,1.758
2812.6690546875,1.844
2820.3829228515624,1.949
2828.096791015625,2.092
2835.8106591796877,2.224
2843.52452734375,2.371
2851.2383955078126,2.5140000000000002
2858.9522636718752,2.6870000000000003
2866.6661318359374,2.883
2874.38,3.065
2882.0881093750004,3.271
2889.8019775390626,3.504
2897.5158457031253,3.74
2905.229713867188,3.996
2912.94358203125,4.276
2920.657450195313,4.574
2928.3713183593754,4.892
2936.0851865234376,5.258
2943.7990546875003,5.646
2951.5129228515625,6.062
2959.226791015625,6.482
2966.940659179688,6.986
2974.65452734375,7.418
2982.3683955078127,7.875
2990.0822636718754,8.453
2997.7961318359376,9.079
3005.51,9.748
3013.2281093750003,10.46
3020.9419775390625,11.23
3028.655845703125,12.06
3036.369713867188,12.950000000000001
3044.08358203125,13.9
3051.7974501953126,14.91
3059.511318359375,15.99
3067.2251865234375,17.150000000000002
3074.9390546875,18.39
3082.6529228515624,19.72
3090.366791015625,21.14
3098.0806591796877,22.650000000000002
3105.79452734375,24.26
3113.5083955078126,25.98
3121.222263671875,27.8
3128.9361318359374,29.73
3136.65,31.79
3144.368109375,33.95
3152.0819775390623,36.230000000000004
3159.795845703125,38.61
3167.5097138671877,41.13
3175.22358203125,43.7
3182.9374501953125,46.37
3190.651318359375,49.11
3198.3651865234374,51.870000000000005
3206.0790546875,54.65
3213.7929228515623,57.370000000000005
3221.506791015625,60.050000000000004
3229.2206591796876,62.6
3236.93452734375,65.05
3244.6483955078124,67.38
3252.362263671875,69.53
3260.0761318359373,71.60000000000001
3267.79,73.55
3275.4981093750002,75.4
3283.2119775390624,77.2
3290.925845703125,79.10000000000001
3298.6397138671878,80.9
3306.35358203125,82.80000000000001
3314.0674501953126,84.7
3321.7813183593753,86.60000000000001
3329.4951865234375,88.7
3337.2090546875,90.80000000000001
3344.9229228515624,92.9
3352.636791015625,94.9
3360.3506591796877,97.0
3368.06452734375,98.9
3375.7783955078125,100.60000000000001
3383.492263671875,102.2
3391.2061318359374,103.4
3398.92,104.30000000000001
3406.638109375,104.80000000000001
3414.3519775390623,104.9
3422.065845703125,104.5
3429.7797138671876,103.9
3437.49358203125,102.7
3445.2074501953125,101.30000000000001
3452.9213183593747,99.60000000000001
3460.6351865234374,97.60000000000001
3468.3490546875,95.4
3476.0629228515622,93.0
3483.776791015625,90.5
3491.4906591796876,87.80000000000001
3499.2045273437498,85.0
3506.9183955078124,82.0
3514.632263671875,78.9
3522.3461318359373,75.7
3530.06,72.3
3537.768109375,68.95
3545.4819775390624,65.49
3553.195845703125,62.0
3560.9097138671877,58.52
3568.62358203125,55.08
3576.3374501953126,51.7
3584.051318359375,48.410000000000004
3591.7651865234375,45.21
3599.4790546875,42.1
3607.1929228515623,39.07
3614.906791015625,36.07
3622.6206591796877,33.08
3630.33452734375,30.03
3638.0483955078125,26.85
3645.762263671875,23.490000000000002
3653.4761318359374,19.990000000000002
3661.19,16.47
3668.903725097656,13.11
3672.7606591796875,11.57
3676.617593261719,10.16
3680.4745273437497,8.89
3684.331461425781,7.76
3688.1883955078124,6.78
3692.0453295898437,5.92
3695.902263671875,5.2
3699.7591977539064,4.57
3703.6161318359373,4.05
3707.4730659179686,3.6
3711.33,3.23
3715.1890546875,2.911
3719.0459887695315,2.743
3722.9029228515624,2.575
3726.7598569335937,2.407
3730.616791015625,2.2600000000000002
3734.4737250976564,2.1350000000000002
3738.3306591796877,2.023
3742.187593261719,1.926
3746.04452734375,1.839
3749.9014614257812,1.7630000000000001
3753.7583955078126,1.691
3757.615329589844,1.629
3761.472263671875,1.571
3765.3291977539066,1.5190000000000001
3769.1861318359374,1.467
3773.0430659179688,1.421
3776.9,1.377
3780.7590546875,1.338
3784.615988769531,1.301
3788.472922851562,1.2650000000000001
3792.3298569335934,1.23
3796.1867910156247,1.2
3800.043725097656,1.168
3803.9006591796874,1.1400000000000001
3807.7575932617187,1.113
3811.6145273437496,1.089
3815.471461425781,1.065
3819.3283955078123,1.043
3823.1853295898436,1.0210000000000001
3827.042263671875,1.0030000000000001
3830.8991977539063,0.984
3834.756131835937,0.968
3838.6130659179685,0.9520000000000001
3842.47,0.937
3846.3252734375,0.9248000000000001
3877.1807460937503,0.8526
3908.03621875,0.8284
3938.89169140625,0.8216
3969.7471640625,0.8034
4000.60263671875,0.7713
4031.4581093750003,0.7060000000000001
4062.31358203125,0.6166
4093.1690546875,0.529
4124.02452734375,0.4672
4154.88,0.41200000000000003
4185.7324375,0.3652
4216.5879101562505,0.32480000000000003
4247.4433828125,0.2936
4278.29885546875,0.2579
4309.154328125,0.2315
4340.00980078125,0.2093
4370.8652734375,0.192
4401.72074609375,0.1782
4432.57621875,0.1683
4463.43169140625,0.1621
4494.2871640625,0.1584
4525.1426367187505,0.1575
4555.998109375,0.1588
4586.85358203125,0.16290000000000002
4617.7090546875,0.1693
4648.56452734375,0.1778
4679.42,0.1904
4710.2824375,0.20600000000000002
4741.137910156251,0.225
4771.9933828125,0.249
4802.84885546875,0.277
4833.704328125,0.31
4864.5598007812505,0.35100000000000003
4895.4152734375,0.395
4926.27074609375,0.446
4957.126218750001,0.508
4987.98169140625,0.5750000000000001
5018.8371640625,0.655
5049.69263671875,0.746
5080.548109375,0.843
5111.40358203125,0.9430000000000001
5142.2590546875,1.029
5173.1145273437505,1.071
5203.97,1.05
5234.820373046875,0.9483
5250.248109375,0.8499
5265.675845703125,0.7158
5281.10358203125,0.5597
5296.531318359375,0.41200000000000003
5311.9590546875,0.29600000000000004
5327.386791015625,0.21630000000000002
5342.81452734375,0.1613
5358.242263671875,0.1264
5373.67,0.1066
5389.09621875,0.09372000000000001
5404.523955078124,0.08505
5419.95169140625,0.07909000000000001
5435.379427734375,0.07682
5450.807164062499,0.07473
5466.234900390625,0.0732
5481.662636718749,0.07238
5497.090373046874,0.07217000000000001
5512.518109375,0.07182000000000001
5527.945845703124,0.07236000000000001
5543.3735820312495,0.07245
5558.801318359375,0.07182000000000001
5574.229054687499,0.07205
5589.656791015625,0.07207000000000001
5605.08452734375,0.07147
5620.512263671874,0.07034
5635.94,0.06884000000000001
5651.3733828125005,0.06711
5682.22885546875,0.06185
5713.084328125,0.05786
5743.939800781251,0.05382000000000001
5774.7952734375,0.05095
5805.65074609375,0.048920000000000005
5836.506218750001,0.04732
5867.36169140625,0.04637
5898.2171640625,0.04592
5929.072636718751,0.045790000000000004
5959.9281093750005,0.04578
5990.78358203125,0.04626
6021.6390546875,0.04698
6052.494527343751,0.048010000000000004
6083.35,0.04925
6114.2024375,0.0506
6145.057910156251,0.052500000000000005
6175.9133828125005,0.0545
6206.76885546875,0.056900000000000006
6237.624328125,0.0594
6268.479800781251,0.0625
6299.3352734375,0.0664
6330.19074609375,0.07050000000000001
6361.046218750001,0.0748
6391.90169140625,0.0804
6422.7571640625,0.0869
6453.61263671875,0.0942
6484.4681093750005,0.1022
6515.32358203125,0.113
6546.1790546875,0.12200000000000001
6577.034527343751,0.1325
6607.89,0.1453
6638.7424375,0.15990000000000001
6669.597910156251,0.1746
6700.4533828125,0.1892
6731.30885546875,0.20720000000000002
6762.164328125,0.22260000000000002
6793.0198007812505,0.23750000000000002
6823.8752734375,0.2492
6854.73074609375,0.2559
6885.586218750001,0.257
6916.44169140625,0.2555
6947.2971640625,0.25270000000000004
6978.152636718751,0.24430000000000002
7009.0081093750005,0.2335
7039.86358203125,0.21730000000000002
7070.7190546875,0.2001
7101.574527343751,0.1734
7132.43,0.1414
7163.292437499999,0.10540000000000001
7194.14791015625,0.0736
7225.0033828125,0.053700000000000005
7255.858855468749,0.041800000000000004
7286.714328124999,0.0351
7317.56980078125,0.0313
7348.4252734374995,0.0286
7379.280746093749,0.0267
7410.13621875,0.024900000000000002
7440.99169140625,0.022600000000000002
7471.847164062499,0.0204
7502.70263671875,0.0183
7533.558109375,0.0164
7564.4135820312495,0.0148
7595.269054687499,0.013300000000000001
7626.12452734375,0.0122
7656.98,0.0112
7687.8324375,0.01042
7718.687910156251,0.009840000000000002
7749.543382812501,0.009380000000000001
7780.39885546875,0.009120000000000001
7811.254328125,0.008790000000000001
7842.109800781251,0.00864
7872.9652734375,0.008480000000000001
7903.82074609375,0.008490000000000001
7934.676218750001,0.00859
7965.5316914062505,0.00863
7996.3871640625,0.008740000000000001
8027.242636718751,0.00889
8058.098109375001,0.00905
8088.95358203125,0.009130000000000001
8119.8090546875,0.009290000000000001
8150.664527343751,0.00939
8181.52,0.009510000000000001
8212.3724375,0.009670000000000002
8243.227910156249,0.009770000000000001
8274.0833828125,0.00986
8304.93885546875,0.00995
8335.794328124999,0.010020000000000001
8366.64980078125,0.01004
8397.505273437499,0.009940000000000001
8428.36074609375,0.009850000000000001
8459.21621875,0.009760000000000001
8490.071691406249,0.00966
8520.9271640625,0.00965
8551.78263671875,0.00948
8582.638109374999,0.009380000000000001
8613.49358203125,0.00924
8644.3490546875,0.00889
8675.204527343749,0.0083
8706.06,0.00725
8736.922437500001,0.0060409999999999995
8767.77791015625,0.004823
8798.6333828125,0.003731
8829.488855468751,0.002963
8860.344328125,0.0024749999999999998
8891.19980078125,0.002188
8922.055273437501,0.0020109999999999998
8952.91074609375,0.0018659999999999998
8983.766218750001,0.00182
9014.62169140625,0.001715
9045.4771640625,0.0016129999999999999
9076.332636718751,0.001522
9107.188109375,0.0014349999999999999
9138.04358203125,0.001346
9168.899054687501,0.0012799999999999999
9199.75452734375,0.001225
9230.61,0.001171
9261.4624375,0.0011309999999999998
9292.31791015625,0.001114
9323.1733828125,0.001103
9354.02885546875,0.0011049999999999999
9384.884328125,0.00112
9415.73980078125,0.001138
9446.595273437499,0.001178
9477.45074609375,0.00122
9508.30621875,0.0012799999999999999
9539.161691406249,0.0013419999999999999
9570.0171640625,0.001434
9600.87263671875,0.0015249999999999999
9631.728109374999,0.001624
9662.58358203125,0.0017339999999999999
9693.4390546875,0.0018499999999999999
9724.294527343749,0.001984
9755.15,0.002116
9786.012437500001,0.002254
9816.86791015625,0.002405
9847.7233828125,0.002534
9878.578855468751,0.002662
9909.434328125,0.002806
9940.289800781251,0.00295
9971.145273437502,0.003075
10002.00074609375,0.003202
10032.856218750001,0.0033179999999999998
10063.71169140625,0.00343
10094.5671640625,0.003535
10125.422636718751,0.0036279999999999997
10156.278109375,0.003708
10187.13358203125,0.0037619999999999997
10217.989054687501,0.003806
10248.84452734375,0.003815
10279.7,0.0038
10310.512437500001,0.003764
10341.36791015625,0.003728
10372.2233828125,0.003656
10403.078855468751,0.003542
10433.934328125,0.0033339999999999997
10464.789800781251,0.0030269999999999997
10495.645273437502,0.002623
10526.50074609375,0.0022619999999999997
10557.356218750001,0.001958
10588.21169140625,0.0017289999999999999
10619.0671640625,0.0015429999999999999
10649.922636718751,0.001375
10680.778109375,0.001218
10711.63358203125,0.001108
10742.489054687501,0.000996
10773.34452734375,0.0008939999999999999
10804.2,0.000806
10835.1124375,0.0007363
10865.967910156249,0.0006805
10896.8233828125,0.0006364
10927.67885546875,0.0006039999999999999
10958.534328124999,0.0005775999999999999
10989.38980078125,0.000557
11020.2452734375,0.0005404
11051.100746093749,0.0005256999999999999
11081.95621875,0.0005128999999999999
11112.811691406248,0.0005
11143.667164062499,0.0004891
11174.52263671875,0.00048019999999999996
11205.378109374999,0.00046919999999999997
11236.23358203125,0.00045809999999999997
11267.0890546875,0.00044689999999999997
11297.944527343749,0.00043579999999999997
11328.8,0.00042439999999999996
11359.6124375,0.00041519999999999995
11390.467910156249,0.0004037
11421.3233828125,0.0003943
11452.17885546875,0.0003849
11483.034328124999,0.00037749999999999996
11513.88980078125,0.00037
11544.7452734375,0.0003626
11575.600746093749,0.0003572
11606.45621875,0.0003517
11637.311691406248,0.00034409999999999996
11668.167164062499,0.0003429
11699.02263671875,0.00033729999999999996
11729.878109374999,0.0003318
11760.73358203125,0.0003283
11791.5890546875,0.000327
11822.444527343749,0.0003213
11853.3,0.0003179
11884.2124375,0.0003121
11915.06791015625,0.00030629999999999996
11945.9233828125,0.0003005
11976.77885546875,0.0002904
12007.634328125,0.0002779
12038.48980078125,0.0002587
12069.345273437499,0.000235
12100.20074609375,0.00021559999999999998
12131.05621875,0.0002005
12161.911691406249,0.00018989999999999998
12192.7671640625,0.0001836
12223.62263671875,0.0001795
12254.478109374999,0.00017549999999999998
12285.33358203125,0.0001737
12316.1890546875,0.0001719
12347.044527343749,0.0001701
12377.9,0.0001705
12408.7124375,0.00017089999999999998
12439.56791015625,0.0001714
12470.4233828125,0.000174
12501.27885546875,0.00017449999999999999
12532.134328125,0.0001795
12562.98980078125,0.00018229999999999999
12593.845273437499,0.0001851
12624.70074609375,0.0001879
12655.55621875,0.0001929
12686.411691406249,0.00019569999999999999
12717.2671640625,0.0001985
12748.12263671875,0.0002037
12778.978109374999,0.00020659999999999998
12809.83358203125,0.0002093
12840.6890546875,0.00021229999999999998
12871.544527343749,0.0002151
12902.4,0.00021559999999999998
12933.3124375,0.0002162
12964.16791015625,0.00021899999999999998
12995.0233828125,0.0002196
13025.87885546875,0.00022009999999999998
13056.734328125,0.000223
13087.58980078125,0.00022349999999999998
13118.4452734375,0.0002241
13149.30074609375,0.00022449999999999998
13180.15621875,0.0002227
13211.01169140625,0.00022319999999999998
13241.8671640625,0.0002237
13272.72263671875,0.0002242
13303.578109375,0.00022229999999999998
13334.43358203125,0.0002229
13365.2890546875,0.0002209
13396.14452734375,0.0002215
13427.0,0.0002219
13457.8124375,0.00021999999999999998
13488.66791015625,0.00021799999999999999
13519.5233828125,0.0002159
13550.37885546875,0.0002115
13581.234328125,0.000202
13612.08980078125,0.000195
13642.9452734375,0.0001779
13673.80074609375,0.0001658
13704.65621875,0.00015099999999999998
13735.51169140625,0.00013879999999999999
13766.3671640625,0.00012639999999999998
13797.22263671875,0.0001191
13828.078109375,0.0001118
13858.93358203125,0.00010439999999999999
13889.7890546875,9.949999999999999e-05
13920.64452734375,9.2e-05
13951.5,8.709999999999999e-05
13982.3124375,7.96e-05
14013.16791015625,7.46e-05
14044.0233828125,7.219999999999999e-05
14074.87885546875,6.72e-05
14105.734328125,6.47e-05
14136.58980078125,6.23e-05
14167.4452734375,5.99e-05
14198.30074609375,5.73e-05
14229.15621875,5.48e-05
14260.01169140625,5.23e-05
14290.8671640625,4.98e-05
14321.72263671875,4.9999999999999996e-05
14352.578109375,4.74e-05
14383.43358203125,4.49e-05
14414.2890546875,4.4999999999999996e-05
14445.14452734375,4.24e-05
14476.0,4.26e-05
14506.912437500001,3.99e-05
14537.76791015625,4.01e-05
14568.6233828125,4.01e-05
14599.478855468751,4.02e-05
14630.334328125,3.76e-05
14661.18980078125,3.77e-05
14692.0452734375,3.78e-05
14722.90074609375,3.78e-05
14753.75621875,3.79e-05
14784.61169140625,3.7999999999999995e-05
14815.4671640625,3.81e-05
14846.32263671875,3.5499999999999996e-05
14877.178109375,3.5499999999999996e-05
14908.03358203125,3.56e-05
14938.8890546875,3.56e-05
14969.74452734375,3.5799999999999996e-05
15000.6,3.59e-05
