cm-1,XE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
15000.6,5,13304,13303,13303,13303,13302,13302,13302,13301,13301,13301,13300,13300,13300,13299,13299,13299,13298
14476.0,5,13298,13298,13297,13297,13297,13296,13296,13296,13295,13295,13295,13295,13294,13294,13294,13293,13293
13951.5,5,13293,13292,13292,13292,13291,13291,13291,13290,13290,13290,13289,13289,13289,13288,13288,13288,13287
13427.0,5,13287,13287,13286,13286,13286,13285,13285,13285,13284,13284,13284,13283,13283,13283,13282,13282,13282
12902.4,5,13281,13281,13281,13280,13280,13280,13279,13279,13279,13278,13278,13278,13277,13277,13277,13276,13276
12377.9,5,13276,13275,13275,13275,13274,13274,13274,13273,13273,13272,13272,13272,13271,13271,13271,13270,13270
11853.3,5,13270,13269,13269,13269,13268,13268,13267,13267,13267,13266,13266,13266,13265,13265,13264,13264,13264
11328.8,5,13263,13263,13263,13262,13262,13261,13261,13261,13260,13260,13260,13259,13259,13258,13258,13258,13257
10804.2,5,13257,13256,13256,13255,13255,13255,13254,13254,13253,13253,13253,13252,13252,13251,13251,13250,13250
10279.7,5,13250,13249,13249,13248,13248,13247,13247,13246,13246,13246,13245,13245,13244,13244,13243,13243,13242
9755.15,5,13242,13241,13241,13240,13240,13239,13239,13238,13238,13237,13237,13236,13236,13235,13235,13234,13234
9230.61,5,13233,13233,13232,13231,13231,13230,13230,13229,13229,13228,13227,13227,13226,13226,13225,13224,13224
8706.06,5,13223,13222,13222,13221,13221,13220,13219,13219,13218,13217,13217,13216,13215,13214,13214,13213,13212
8181.52,5,13211,13211,13210,13209,13208,13208,13207,13206,13205,13204,13204,13203,13202,13201,13200,13199,13198
7656.98,5,13197,13196,13195,13194,13193,13192,13191,13190,13189,13188,13187,13186,13185,13183,13182,13181,13179
7132.43,5,13178,13177,13176,13176,13175,13174,13173,13172,13171,13170,13169,13168,13167,13166,13165,13163,13162
6607.89,5,13160,13159,13157,13156,13154,13152,13151,13149,13147,13145,13144,13142,13140,13138,13136,13134,13132
6083.35,5,13130,13127,13125,13123,13120,13118,13116,13113,13110,13108,13105,13102,13099,13096,13093,,
5635.94,4,13092,13090,13089,13087,13085,13084,13082,13080,13078,13077,13075,13073,13071,13068,13066,13064,13061
5373.67,4,13059,13056,13053,13050,13046,13043,13041,13039,13039,13039,,,,,,,
5203.97,5,13039,13039,13038,13037,13034,13030,13026,13021,13015,13010,13003,12997,12990,12983,12976,12968,12960
4679.42,5,12952,12943,12934,12924,12914,12903,12892,12880,12867,12854,12840,12825,12809,12792,12774,12755,12734
4154.88,5,12714,12690,12664,12635,12604,12571,12534,12491,12441,12382,12313,,,,,,
3842.47,2,12303,12294,12284,12273,12263,12252,12241,12230,12218,12206,12194,12181,12168,12155,12141,12127,12113
3776.90,2,12098,12082,12066,12050,12032,12015,11996,11977,11956,11935,11913,11890,11866,11841,11814,11786,11756
3711.33,2,11722,11689,11654,11617,11580,11541,11502,11462,11423,11386,11350,11317,,,,,
3661.19,3,11261,11221,11194,11177,11166,11158,11151,11145,11142,11141,11144,11150,11162,11181,11206,11238,11279
3530.06,3,11326,11381,11443,11511,11586,11666,11753,11845,11944,12049,12161,12279,12404,12531,12665,12802,12936
3398.92,3,13071,13201,13325,13442,13551,13652,13746,13831,13908,13979,14045,14107,14167,14224,14280,14338,14394
3267.79,3,14450,14508,14565,14620,14673,14723,14767,14807,14840,14867,14887,14900,14907,14909,14906,14898,14887
3136.65,3,14873,14855,14836,14814,14791,14766,14740,14714,14687,14660,14632,14604,14577,14549,14521,14494,14467
3005.51,3,14440,14413,14387,14361,14333,14311,14289,14265,14243,14221,14199,14177,14156,14136,14115,14096,14077
2874.38,3,14059,14041,14023,14006,13989,13973,13957,13941,13925,13910,13895,13881,13868,13854,13841,13828,13815
2743.24,3,13802,13790,13778,13766,13754,13743,13732,13721,13710,13700,13690,13679,13669,13660,13650,13641,13631
2612.11,3,13622,13614,13605,13596,13588,13580,13572,13564,13556,13548,13540,13533,13525,13518,13511,13504,13497
2480.97,3,13490,13483,13476,13469,13463,13456,13450,13443,13437,13431,13424,13418,13412,13406,13400,13394,13388
2349.83,3,13382,13376,13370,13364,13358,13352,13347,13341,13336,13331,13326,13321,13317,13313,13308,13305,13301
2218.70,3,13298,13295,13292,13290,13288,13286,13285,13284,13283,13282,13282,13281,13281,13281,13280,13280,13279
2087.56,3,13278,13277,13275,13273,13271,13267,13264,13260,13255,13250,13245,13239,13232,13225,13217,13208,13200
1956.43,3,13190,13181,13171,13160,13149,13138,13126,13114,13101,13088,13075,13060,13046,13030,13014,12998,12980
1825.29,3,12961,12941,12920,12898,12874,12848,12820,12790,12757,12722,12683,12642,12597,12552,12507,12466,12435
1694.16,3,12420,12429,12470,12545,12657,12807,12990,13193,13385,13531,13613,13638,13629,13601,13567,13530,13496
1563.02,3,13464,13434,13408,13382,13359,13338,13318,13299,13282,13266,13250,13236,13222,13209,13196,13184,13173
1431.88,3,13161,13150,13139,13128,13117,13107,13096,13086,13075,13065,13054,13044,13033,13023,13013,13003,12992
1300.75,3,12981,12971,12960,12949,12938,12927,12916,12902,12888,12873,12857,12842,12826,12813,12796,12778,12760
1169.61,3,12741,12722,12701,12683,12665,12643,12616,12590,12565,12539,12512,12484,12455,12424,12392,12359,12324
1038.48,3,12286,12247,12207,12164,12119,12072,12023,11971,11916,11859,11799,11737,11674,11609,11543,11478,11414
907.34,3,11351,11292,11239,11191,11150,11117,11094,11080,11076,11084,11102,11129,11163,11210,11263,11322,11385
776.21,3,11454,11535,11626,11724,11829,11928,12040,12141,12235,12328,12421,12520,12619,12720,12819,12916,13016
645.07,3,13125,13238,13350,13464,13584,13702,13823,13952,14066,14173,14275,14374,14470,14562,14650,14734,14814
513.93,3,14890,14962,15032,15097,15159,15219,15276,15331,15384,15434,15483,15529,15573,15615,15654,15691,15725
382.80,3,15755,15782,15804,15822,15836,15845,15847,15845,15836,15820,15796,15766,15727,15683,15634,15584,15540
251.66,3,15506,15491,15500,15539,15614,15726,15876,16066,16292,16551,16840,17152,17479,17813,18145,18467,18769
120.53,3,19045,19290,19501,19678,19827,19956,20082,20224,20406,20649,,,,,,,
47.25,2,20801,20976,21168,21396,21670,21986,22374,22879,23606,24609,25871,31053,48755,,,,